Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Mitsubishi,3000GT           ,0.11,20.94,Passenger,25.45,3.0,161.0,97.2,72.4,180.3,3.1310000000000002,19.8,21.0,29-Jun-14
Dodge,Viper            ,0.9159999999999999,58.47,Passenger,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,08-Jul-15
Mercedes-Benz,CL500            ,0.9540000000000001,18.072975206611574,Passenger,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,04-Nov-15
Oldsmobile,Cutlass          ,1.112,11.24,Passenger,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,31-May-15
Porsche,Carrera Coupe    ,1.28,60.625,Passenger,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,21-Dec-14
Audi,A8               ,1.38,39.0,Passenger,62.0,4.2,310.0,113.0,74.0,198.2,3.9019999999999997,23.7,21.0,27-Feb-14
Mercedes-Benz,SLK230           ,1.526,18.072975206611574,Passenger,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,08-Jun-15
Porsche,Carrera Cabriolet,1.8659999999999999,67.55,Passenger,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,07-Nov-15
Plymouth,Prowler          ,1.8719999999999999,18.072975206611574,Passenger,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,27-Jun-14
Mercedes-Benz,SL-Class         ,3.3110000000000004,58.6,Passenger,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,17-Mar-15
Lexus,GS400            ,3.3339999999999996,18.072975206611574,Passenger,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,28-Nov-14
Volvo,C70              ,3.4930000000000003,18.072975206611574,Passenger,45.5,2.3,236.0,104.9,71.5,185.7,3.6010000000000004,18.5,23.0,26-Apr-15
Volvo,V40              ,3.545,18.072975206611574,Passenger,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,21-Sep-15
Dodge,Avenger          ,4.734,12.545,Passenger,19.045,2.5,163.0,103.7,69.1,190.2,2.8789999999999996,15.9,24.0,07-Jan-14
Saturn,SW               ,5.223,10.79,Passenger,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,15-Jan-15
Plymouth,Breeze           ,5.24,9.8,Passenger,16.08,2.0,132.0,108.0,71.0,186.3,2.9419999999999997,16.0,27.0,14-Nov-15
Volkswagen,GTI              ,5.596,13.76,Passenger,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,04-Jan-15
Mitsubishi,Diamante         ,5.711,16.575,Passenger,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,28-Aug-14
Lexus,LS400            ,6.375,40.375,Passenger,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,29-Mar-14
Cadillac,Eldorado         ,6.5360000000000005,25.725,Passenger,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,27-Nov-15
Chrysler,Sebring Coupe    ,7.854,12.36,Passenger,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,16-Jan-14
Mercedes-Benz,SLK              ,7.997999999999999,18.072975206611574,Passenger,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,16-Jan-15
Saturn,LW               ,8.472000000000001,18.072975206611574,Passenger,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,08-May-15
Acura,RL               ,8.588,29.725,Passenger,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,03-Oct-15
Porsche,Boxter           ,8.982000000000001,41.25,Passenger,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,19-Feb-14
Lexus,LX470            ,9.126,18.072975206611574,Car,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,30-Oct-14
Saab,05-Sep,9.191,18.072975206611574,Passenger,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,11-Sep-14
BMW,328i             ,9.231,28.675,Passenger,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,29-Jan-14
Volkswagen,Cabrio           ,9.568999999999999,16.575,Passenger,19.99,2.0,115.0,97.4,66.7,160.4,3.0789999999999997,13.7,26.0,31-May-15
Volkswagen,Golf             ,9.761000000000001,11.425,Passenger,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,24-Jan-15
